"FileName","FilePath","Hash"
"adsnt.dll","C:\Windows\system32\adsnt.dll","58E00A4249FE3314BDBF6D2BBC9C17CDCEF86CB92CC7367C0765A003360F4E48"
"adtschema.dll","C:\Windows\system32\adtschema.dll","69F415206932E2426CFB54032C0151D70AB31B95425AC54A20468DBA665AC063"
"advapi32.dll","C:\Windows\system32\advapi32.dll","4D9835F51A84A1C41683B3D5E81B4486015C7C62AA803DECFDB2BB1229D3B3A0"
"advapi32res.dll","C:\Windows\system32\advapi32res.dll","1E09F20CE1C98F8C72829BE565C06A40F862614E7E1B7CD39F4B3231706087C0"
"advpack.dll","C:\Windows\system32\advpack.dll","72763F9313F3056E32A56DFC8F54C570FA273E48C458EBB020EF5C344247500D"
"aeevts.dll","C:\Windows\system32\aeevts.dll","4E6F04C5328F66E9275223AFF3B8DE378AC164FFF89A1902D5EFE8B16DA301B4"
"aeinv.dll","C:\Windows\system32\aeinv.dll","08204F95AE86093A9AF1EEEC0C135CD5EC04F8D2752278DFBA9DE145DC54909E"
"aepic.dll","C:\Windows\system32\aepic.dll","17F4100FEDE376F54F7BD75B2DB5002264E2FEC0003D19A191B3549CF3AEEC2C"
"AgentService.exe","C:\Windows\system32\AgentService.exe","6E0AA5E37EDC0F8A15586B48BAFA54357D042F59F4669E3B6F725A3F2150F892"
"AggregatorHost.exe","C:\Windows\system32\AggregatorHost.exe","6EEF95D5885E5163541CF9BCCFE77753772FB9946BC9322425D8D653B1A744BA"
"aitstatic.exe","C:\Windows\system32\aitstatic.exe","486A0CD37C5C366765FC0A2C4E6E9EDD559D5E99B5698FB2A1BB071BF4863CC2"
"AJRouter.dll","C:\Windows\system32\AJRouter.dll","854C883905B918E7ED09535DB80C6C100A55DD44A71305CA9F8881E0C138CA48"
"alg.exe","C:\Windows\system32\alg.exe","5C71FA9E84328BF071219537D5A2104FB90B12CF59B3D9CAD4D77E428B4ED075"
"altspace.dll","C:\Windows\system32\altspace.dll","8F994FE4FD77A2E6A39BD78413C0A812DE5DA114D39AC37D0E4F5497F34DBB87"
"amcompat.tlb","C:\Windows\system32\amcompat.tlb","66220AC2DA2F6A9F5FA1CA96A6ABDC404E9F2ACC54F378588CCDDAD2080560D1"
"amsi.dll","C:\Windows\system32\amsi.dll","4F548F305D890DF50CA045F7794DD1CDB9F240DE3984A34936FA61448574C256"
"amsiproxy.dll","C:\Windows\system32\amsiproxy.dll","E5D49C256B4DE74384B3DA12A740C51C07EF658408860F456F825AF3FFD0CB17"
"amstream.dll","C:\Windows\system32\amstream.dll","E8596D630A2724716AC4D39D018527FFA2EDEACD1EB8D58C1A9E0C29D2640D02"
"apds.dll","C:\Windows\system32\apds.dll","09AD8F84419378A46810280D60D81BFA95F5CA3D870DBDBFE41B7B5582FFC7B8"
"apisampling.dll","C:\Windows\system32\apisampling.dll","6B868758AD728EC197B8150CF12FB02A478969641F466079B9CD36A6B05C7B2A"
"ApiSetHost.AppExecutionAlias.dll","C:\Windows\system32\ApiSetHost.AppExecutionAlias.dll","119A60F95F1B33CA5878366B72FBB5D70AB017C9325A3D270968CFCE9D6107AD"
"apisetschema.dll","C:\Windows\system32\apisetschema.dll","7607F5F28BD51318C0F7335CC9560DE1AA9247C9A4785CAA8F74937BACF0F1B8"
"APMon.dll","C:\Windows\system32\APMon.dll","4A93D394F3E4A5D3F596712D6E0CEF70C6C1D0FA8DBCDC26EA9E58220FD96CAE"
"APMonUI.dll","C:\Windows\system32\APMonUI.dll","DB8C1C3B2DD2734F8836EFCC7A42311DA9F18E3532F7863745BDEC7E40DDB3D2"
"AppContracts.dll","C:\Windows\system32\AppContracts.dll","1F973837409D13AEC3F647DC0E74683D00829837D7895025E75D81D69F923A06"
"AppExtension.dll","C:\Windows\system32\AppExtension.dll","746F7B32D885BC598C7CB6E9BA162A83BA71D2E3D9CBACAE6B78E52D287B6CAB"
"apphelp.dll","C:\Windows\system32\apphelp.dll","DEFB28015963F2DBC181BFC149D1E7D70B5EA21B42C8B045BDC06DCF9178208C"
"Apphlpdm.dll","C:\Windows\system32\Apphlpdm.dll","E4D5724BD8A4E5948E2BBD317C786E18366CB036DACEBFB50311B3AAB6208336"
"AppHostRegistrationVerifier.exe","C:\Windows\system32\AppHostRegistrationVerifier.exe","9DCD0A55D64AD2EC21EA6096B739BB8D275732E41E90E56C6E0A692268019FD6"
"appidapi.dll","C:\Windows\system32\appidapi.dll","E3715255990497C0F657F14B33EBAE82791D0ED8206C711049E4A253435A460C"
"appidcertstorecheck.exe","C:\Windows\system32\appidcertstorecheck.exe","3218F94A44D0A838ABD25EAEF5F6892FEA0F3CBB42C4B29F0EDD327D8C4543E3"
"appidpolicyconverter.exe","C:\Windows\system32\appidpolicyconverter.exe","317AAE137E6B0089F7103E7AB323E3F7F3404EB26E6FBE84D6D81609964A0E75"
"AppIdPolicyEngineApi.dll","C:\Windows\system32\AppIdPolicyEngineApi.dll","AB0A7E4783DADA08ACC6F5F47E9553ADF9D92D3F3F43E53857B22DDB656805B9"
"appidsvc.dll","C:\Windows\system32\appidsvc.dll","0B14C496363F7A14CA4868672E8171215692F6E41F24F4DCDA12E6C6053FECFA"
"appidtel.exe","C:\Windows\system32\appidtel.exe","9CE9142C109AD070EE0D7DEDAAE2159F9E661D1236D0E9043752F37A155FE06E"
"appinfo.dll","C:\Windows\system32\appinfo.dll","19D923D41AF14363CDBD383320E208B16AFBE678580DBCD2493844D609A721B4"
"appinfoext.dll","C:\Windows\system32\appinfoext.dll","956B14C22C3343D6CDF8A4FCC5222FDD0869127E2DF79A15759FB54C2C566AC8"
"AppInstallerPrompt.Desktop.dll","C:\Windows\system32\AppInstallerPrompt.Desktop.dll","B1000B4FCE995A92FCF2F0413C287C0B8D2E5A046D427094C5735DB585079CDD"
"ApplicationFrame.dll","C:\Windows\system32\ApplicationFrame.dll","811EAF88D9A65027DC9F454AA58AA5B0A1421628D7419739697AB18AD77291EA"
"ApplicationFrameHost.exe","C:\Windows\system32\ApplicationFrameHost.exe","CEEF0FAFDB1EA06A4D6D15DC63B9C03E3661BFE4818AB7AD92ECC2C328FD5964"
"AppLockerCSP.dll","C:\Windows\system32\AppLockerCSP.dll","E2F27B2379F9DBD5338AD90CBF7CF79F5A6D35A93B6CF7EACD9F3791A33253FF"
