"FileName","FilePath","Hash"
"agentactivationruntimestarter.exe","C:\Windows\system32\agentactivationruntimestarter.exe","BF515AA1BB9865424FA665D4E781980135CB44422A84E8C63ED18B000E7541B8"
"agentactivationruntimewindows.dll","C:\Windows\system32\agentactivationruntimewindows.dll","0FF50FE12A48674D21B58007B80DAC0572A87B1D05D4583A93B09C04F19C67BB"
"AgentService.exe","C:\Windows\system32\AgentService.exe","4BB1949F28D464866761E049526F99B1F0E40E2125E63AED9A03C7EAAA6BE291"
"aitstatic.exe","C:\Windows\system32\aitstatic.exe","6C21C0C38032DA60FCB777CD1706D3630EC541A61D63BCC4C7A28A7008DA16D4"
"AJRouter.dll","C:\Windows\system32\AJRouter.dll","4E2623243A9BB61F7211E591C24EDB70B07974A7FA21E3F14C683F27E975777F"
"alg.exe","C:\Windows\system32\alg.exe","6ABE94DF833EC0E6D145429BBA99FDCA9AD3FCBB685A432B20C04F74DE9A42A5"
"altspace.dll","C:\Windows\system32\altspace.dll","2E63F6FFD56599576A2FBBF42CFDEF1DD2AE953CC144D2033962F1A1EB534F8B"
"amcompat.tlb","C:\Windows\system32\amcompat.tlb","2779DB109FEBB4EA8C0E5440C699D6B7090CE6C75E8C579107DF46CE8EAEB27C"
"amsi.dll","C:\Windows\system32\amsi.dll","F45D7BD641694B1351B1F003B95586F5456F3BCC508CF8AE323DE95115557C07"
"amsiproxy.dll","C:\Windows\system32\amsiproxy.dll","32DF840E055B9654EDFF3B9FFB5648295B9CDFAA71B716BE8C7E68BCCC61CEDA"
"amstream.dll","C:\Windows\system32\amstream.dll","3E6F1B7ABD90C63634143AF6DE8CF7FD61BCD6C4DA07308EC8C8DA757CA728FC"
"Analog.Shell.Broker.dll","C:\Windows\system32\Analog.Shell.Broker.dll","9F49F2189B7C3A886C0085200983DC47E7CCE793A6C5D5FB5DAAE753B3895BD6"
"AnalogCommonProxyStub.dll","C:\Windows\system32\AnalogCommonProxyStub.dll","3F5C498C4E9F1EB849E7446D1CEF00FF57A61DA553FC799D78184810C5D6DBF2"
"apds.dll","C:\Windows\system32\apds.dll","D73F560A5A7499E8F10D231CD1FE92ECEA96A800C1326EF8A85FD15CBBE14A4F"
"APHostClient.dll","C:\Windows\system32\APHostClient.dll","31FC0BBBC5F302887B2A8DBD6644D117F870AAA7EAA56B49E7D56F796C5D0921"
"APHostRes.dll","C:\Windows\system32\APHostRes.dll","99981098F61CE6F5AB26F7AB1FBDF4EFA3F00FF2A4B6D95E00431631945058D8"
"APHostService.dll","C:\Windows\system32\APHostService.dll","CE1B45DC50B6D82D85DAE5EEED4EA2A7D3E5AFAB24957437679CB366B6BE33C4"
"apisampling.dll","C:\Windows\system32\apisampling.dll","E149E386CE23A6834A7F4C860CBA45DD984120EB6282034981F1C65BF4ACFA56"
"ApiSetHost.AppExecutionAlias.dll","C:\Windows\system32\ApiSetHost.AppExecutionAlias.dll","D51956BA34BEC0F316B38533F63A4107AB967471177B804AA502EADCD28E3B7F"
"apisetschema.dll","C:\Windows\system32\apisetschema.dll","9EAF5D542CD57BD873CA392787DE4F01561141FED1D91522C6C50976AE4ABA6A"
"APMon.dll","C:\Windows\system32\APMon.dll","2C6204BEE50D5A9962533CECED343DF4CCA2F85B22C1AE6C1B3ABF410E82133E"
